Species
Lysmatella prima
Neosarmatium asiaticum
Cherax warsamsonicus
Macrothrix superaculeata
Acrocalanus longicornis
Gangliopus pyriformis
Quadrimaera miranda
Thalamita stephensoni
Thalamita admete
Dardanus pectinatus
Tiarinia angusta
Parathelphusa celebensis
Dipterosaccus indicus
Caridina brachydactyla
Romaleon setosum
Climeniperaeus truncatus
Macrobrachium kelianense
Balanus minutus
Metapolycope divae
Cytherelloidea cingulata
Acartia danae
Scolecitrichopsis ctenopus
Hymenodora glacialis
Petrarctus rugosus
Scylla tranquebarica
Calappa galloides
Caridina gracilirostris
Dorippe quadridens
Alpheus chacei
Scopimera globosa
Stenocionops ovatus
Eriphia sebana
Daldorfia glasselli
Anamixis pacifica
Macrobrachium bariense
Palaemon ritteri
Daldorfia horrida
Thalamita spinimana
Tiomanium indicum
Parapontocaris aspera
Portunus sayi
Alonella hampelae
Biffarius botterae
Clausocalanus farrani
Periscyphis trivialis
Xarifia exuta
Stellicomes tumidulus
Alpheus superciliaris
Subeucalanus mucronatus
Sumatrillo antrobius
Galathea consobrina
Calappa philargius
Rugathanas borradailei
Nemausa cornuta
Micas minutus
Galathea eione
Galathea boisselierae
Neomonoceratina indonesiana
Keijella dictyon
Metacirolana mioskon
Euryrhynchus tuyuka
Pleonexes lowryi
Apanthura stocki
Macrobrachium ferreirai
Leiolambrus nitidus
Stenopus tenuirostris
Euchaeta media
Accalathura barnardi
Pseudione indica
Penaeus notialis
Sympagurus trispinosus
Calcinus laevimanus
Bathycuma squamosa
Schizophrys rufescens
Tiarinia takedai
Alpheus acutofemoratus
Paramunida tenera
Ocypode cursor
Ancylomenes sarasvati
Michelea papua
Cephaloecetes ungulatus
Nitokra lacustris
Aegisthus spinulosus
Streetsia challengeri
Thyropus sphaeroma
Acanthilia intermedia
Macrobrachium aracamuni
Paradoridicola drepanophorus
Palmyria palmyrensis
Tiarinia gracilis
Aetideus acutus
Hippa marmorata
Xenosinelobus balanocolus
Agetus typicus
Vir philippinensis
Paraidya major
Parophiopsyllus ligatus
Acanthephyra purpurea
Munidopsis profunda
Lichomolgus tridacnae
Ditrichocorycaeus dubius
Neoasterocheres dysideae
Arcania gracilis
Heterorhabdus guineanensis
Urashima pustuloides
Merhippolyte orientalis
Cuapetes grandis
Sacculina angulata
Probopyrus buitendijki
Cryptopenaeus clevai
Tuxophorus wilsoni
Lophogaster typicus
Isolapotamon bauense
Mursia trispinosa
Cataleptodius taboganus
Tetralia muta
Alpheus leptochiroides
Amphibalanus cirratus
Corycaeus andrewsi
Hypoconcha arcuata
Aniculus hopperae
Alpheus brevipes
Pseudanthessius truncus
Ethusa exophthalma
Strandesia caudata
Chthamalus malayensis
Eupleurodon peruvianus
Austruca annulipes
Gloiopotes hygomianus
Macrobrachium oenone
Alpheus viridari
Vir colemani
Planoscalpellum hexagonum
Alona guttata
Macrophthalmus tomentosus
Pilodius cephalalgicus
Paracytheroma ventrosinuosa
Caridina mayamareenae
Glyphocrangon unguiculata
Xarifia radians
Erythrops africana
Petrolisthes holotrichus
Episesarma mederi
Ilyoplax lingulata
Tuerkayana hirtipes
Ogyrides alphaerostris
Liomera rugata
Chydorus sphaericus
Liomera semigranosa
Hippa testudinaria
Galathea multilineata
Perinia tumida
Rotundopotamonautes neumanni
Phalangipus malakkensis
Achelous tuberculatus
Coralliocaris labyrintha
Porcellana cancrisocialis
Pagurus pubescentulus
Neomonoceratina columbiformis
Lucicutia curta
Eubelum stanleyanum
Pseudione elongata
Acantholobulus caribbaeus
Alpheus macroskeles
Munidopsis subchelata
Aniculus aniculus
Coronida bradyi
Ergasilus leporinidis
Parapalicus ambonensis
Pseudoliomera remota
Metasesarma aubryi
Phorcosergia burukovskii
Ancylomenes venustus
Austrocephaloides tori
Hemicytheridea wangi
Paratumidocarcinus marajoarus
Allaxiopsis picteti
Acartia pacifica
Caligus confusus
Platycuma sandersi
Hymenopenaeus equalis
Bathymenes aleator
Anamathia hystrix
Simocephalus vetulus
Galacantha valdiviae
Gonionida compacta
Pseudopaguristes kuekenthali
Acanthomolgus astrictus
Metacirolana caeca
Allogalathea inermis
Megametope ogaensis
Samadinia tomentosa
Upogebia savignii
Diastyloides atlanticus
Haliporoides sibogae
Thalamita poissonii
Panulirus ornatus
Tozeuma armatum
Munidopsis acalipha
